lng,lat
127.15646,34.55391
10.61204,49.04998
13.39389,49.80886
130.87351,31.16405
130.97538,31.43819
-6.73862,52.29919
118.01144,36.95779
-1.53057,41.96166
7.00078,49.65068
-6.83348,38.67985
-71.38784,42.30652
137.85428,36.37562
-5.01146,41.10611
-3.53148,39.49071
23.36140,40.28589
-5.87291,38.94216
11.83469,42.45355
-1.71424,42.12009
12.87271,48.62356
-1.35338,40.87548
8.78703,44.88010
126.58646,36.17403
127.24419,35.37468
-107.25965,32.62851
-71.59161,-33.89122
10.50022,49.35793
-73.19207,40.76251
21.87991,39.32964
14.68441,48.93689
120.22208,41.69617
5.89718,51.44385
10.75561,50.21412
8.66317,39.90900
0.20996,45.66953
10.24168,49.41366
17.88464,40.51831
107.84000,12.60381
-4.97139,41.07101
-5.51056,42.60720
-4.92150,41.34351
126.45967,35.27288
-71.08727,41.69439
-71.06224,42.04802
-0.40755,42.23368
2.36897,43.28558
113.27726,40.30871
21.50958,40.82620
-2.84784,40.94206
-3.46320,39.28917
113.17502,28.17372
17.80452,40.48647
6.15433,51.34294
107.94584,14.49972
12.00539,44.51604
-4.74032,37.03280
-77.28825,37.34226
8.88861,45.57885
3.86720,50.47083
9.29850,40.49360
-121.73875,37.22893
24.16061,35.37497
127.13862,35.90698
22.07453,48.01410
0.52881,41.23955
-4.16409,41.22958
12.98254,50.91948
15.28842,40.98035
10.41506,47.66786
10.07951,47.85781
144.29873,43.02320
14.61384,37.00618
8.66193,39.91037
106.96124,16.78634
-86.04147,39.77587
17.79636,40.60019
21.22839,40.47490
22.70651,36.95956
14.63825,37.14947
13.20465,43.56619
10.49234,49.25520
27.52665,47.09180
8.43824,49.09940
140.18898,36.99987
141.35534,43.20808
2.80789,42.69759
144.42755,42.99169
22.64171,39.53327
8.10673,45.42816
22.70559,40.98423
16.89587,40.90081
12.17558,51.10321
6.03139,52.19284
-1.51013,42.05857
8.65330,39.12440
22.48446,39.44692
22.66026,37.00728
10.82264,50.42043
126.89494,36.21098
19.49744,48.25897
21.98580,39.57453
109.01567,11.68367
2.80337,42.69867
21.07961,40.42525
129.66413,33.16969
-4.74806,41.05527
22.32007,39.63437
-2.60066,37.06813
2.95892,42.74328
126.27675,34.51300
-71.35525,42.62566
24.47712,-28.99135
10.50078,43.82727
141.58171,43.01879
24.66258,35.38086
11.08233,50.27664
17.20204,49.62897
-1.63230,42.08816
2.80421,42.70286
6.02775,46.19021
13.32199,49.75000
-5.00097,39.89220
8.56675,44.73721
11.70516,50.17222
126.85605,35.60858
143.06097,42.90497
21.25733,48.85335
2.97080,42.98647
139.26243,35.72029
13.46007,50.49601
107.93848,12.58354
16.45608,39.78374
108.96239,12.33281
127.05765,34.76760
22.02387,50.06138
21.62986,50.87859
-72.35116,43.62763
11.77865,49.61250
13.43575,50.45496
-1.21653,52.78322
1.16550,43.28638
114.68345,38.69743
